C Mil A,UF,Município,OM,Curso,Entidade,Local,Início,Fim,Carga Horária,Efetivo Inicial,Efetivo Final,Valor hora aula,Valor total
CMSE ,SP ,São Paulo ,Cmdo CMSE ,4-Soldador Arco Elétrico Eletrodo Revestido ,1-SENAI CAÇAPAVA ,Entidade Parceira,31/8/2022,13/2/2023,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,5-Mec Mnt em Refrigeração Climatização Resid ,1-SENAI CAÇAPAVA ,Entidade Parceira,13/8/2022,4/2/2023,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,6-Auxiliar Administrativo ,2-SENAI Santo Amaro Ary Torres ,Entidade Parceira,10/8/2022,16/12/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,7-Pintor imobiliário ,3-SENAI Tatuapé ,Entidade Parceira,1/10/2022,25/2/2023,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,6-Auxiliar Administrativo ,4-SENAI Jandira ,Entidade Parceira,12/9/2022,6/12/2022,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,8-Eletricista Instalador ,4-SENAI Jandira ,Entidade Parceira,16/8/2022,29/11/2022,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,9-Operador de empilhadeira ,5-SENAI Osasco ,Entidade Parceira,16/8/2022,30/8/2022,32,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Assistente Financeiro ,6-SENAI São Bernardo ,Entidade Parceira,1/9/2022,9/12/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,10-Implantação Sv Inteligência Artificial Nuv ,7-SENAI Ipiranga-Conde josé V. Azevedo ,Entidade Parceira,16/8/2022,31/8/2022,40,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,11 Automação Predial ,10-SENAI Vila Alpina ,Entidade Parceira,20/10/2022,12/12/2022,120,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,12-Confeiteiro ,8-SENAI Barra Funda ,Entidade Parceira,8/9/2022,7/11/2022,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,13-Operador de Logística ,9-SENAI Vila Mariana ,Entidade Parceira,15/9/2022,12/12/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,6-Auxiliar Administrativo ,2-SENAI Santo Amaro Ary Torres ,Entidade Parceira,30/8/2022,23/11/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,2-Programação e impressão 3D ,11-SENAI Roberto Simonsem - Brás ,Entidade Parceira,17/9/2022,8/10/2022,24,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,14-Auto Cad 2D ,4-SENAI Jandira ,Entidade Parceira,16/8/2022,6/10/2022,48,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,15-Assistente Financeiro ,4-SENAI Jandira ,Entidade Parceira,24/9/2022,11/3/2023,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,16-Informática Básica ,2-SENAI Santo Amaro Ary Torres ,Entidade Parceira,6/10/2022,11/11/2022,60,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,17-Excel Avançado ,2-SENAI Santo Amaro Ary Torres ,Entidade Parceira,22/9/2022,18/10/2022,40,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,18-Excel Completo ,3-SENAI Tatuapé ,Entidade Parceira,15/9/2022,27/10/2022,80,3,3,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,19-Tapeceiro ,11-SENAI Roberto Simonsem - Brás ,Entidade Parceira,12/9/2022,11/10/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,20-Auditor Interno NBR ISO9001 ,11-SENAI Roberto Simonsem - Brás ,Entidade Parceira,17/9/2022,8/10/2022,24,1,1,0,0
CMSE ,SP ,Campinas ,EsPCEx ,Auxiliar de cozinheiro ,SENAI ,Própria OM,31/1/2022,7/4/2022,160,6,6,0,0
CMSE ,SP ,Campinas ,EsPCEx ,CALDEIREIRO ,SENAI ,Própria OM,31/1/2022,4/2/2022,36,2,2,0,0
CMSE ,SP ,Campinas ,EsPCEx ,Segurança no Uso Correto de Agrotóxicos ,SENAR ,Entidade Parceira,4/4/2022,6/4/2022,24,4,4,0,0
CMSE ,SP ,Campinas ,EsPCEx ,Hidráulica Básica ,SENAR ,Própria OM,11/4/2022,14/4/2022,32,14,14,0,0
CMSE ,SP ,Campinas ,EsPCEx ,Hidráulica Básica ,SENAR ,Própria OM,24/5/2022,27/6/2022,32,13,13,0,0
CMSE ,SP ,Jundiaí ,12º GAC ,Auxiliar de serviços de alimentação ,Escola SENAI Prof. Dr. Euryclides de Jesus Ze ,Própria OM,11/4/2022,10/7/2022,160,16,16,0,0
CMSE ,SP ,Jundiaí ,12º GAC ,Fabricação de salgados ,Escola SENAI Prof. Dr. Euryclides de Jesus Ze ,Própria OM,11/4/2022,12/5/2022,48,14,14,0,0
CMSE ,SP ,Praia Grande ,2º GAAAe ,Motor Marinizados ,SENAI ,Entidade Parceira,30/5/2022,28/6/2022,120,3,3,0,0
CMSE ,SP ,Praia Grande ,2º GAAAe ,Salgadeiro ,SENAI ,Entidade Parceira,20/7/2022,4/8/2022,48,2,2,"13,85","1329,6"
CMSE ,SP ,Osasco ,4º BIL ,Excel Básico ,SENAI Nadir Dias de Figueiredo ,Entidade Parceira,28/6/2022,13/7/2022,40,11,11,"11,6",5104
CMSE ,SP ,Osasco ,4º BIL ,Instalações Elétricas ,FATEC/ETEC ,Entidade Parceira,3/8/2022,5/10/2022,40,16,16,0,0
CMSE ,SP ,Taubaté ,B Mnt Sup Av Ex ,SOLDADOR AO ARCO ELÉTRICO TIG ,SENAI - Taubaté ,Entidade Parceira,30/7/2022,7/1/2023,168,4,4,0,0
CMSE ,SP ,Taubaté ,B Mnt Sup Av Ex ,Implantação de Serviços em Nuvem - AWS Cloud ,SENAI - Taubaté ,Entidade Parceira,1/8/2022,24/8/2022,80,2,2,0,0
CMSE ,SP ,São Paulo ,3º CTA ,Energia solar fotovoltaíca Tec e aplicação ,SENAI ,Entidade Parceira,27/8/2022,10/9/2022,24,1,1,0,0
CMSE ,SP ,São Paulo ,3º CTA ,Automação Predial ,SENAI ,Entidade Parceira,20/10/2022,19/12/2022,120,1,1,0,0
CMSE ,SP ,São Paulo ,3º CTA ,Excel básico e avançado ,SENAI ,Entidade Parceira,24/9/2022,17/12/2022,80,2,2,0,0
CMSE ,SP ,São Paulo ,3º CTA ,Assistente Financeiro ,SENAI ,Entidade Parceira,1/9/2022,9/12/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,3º CTA ,Pintor Imobiliário ,SENAI ,Entidade Parceira,1/10/2022,25/2/2023,160,1,1,0,0
CMSE ,SP ,São Paulo ,3º CTA ,Comandos Elétricos ,SENAI ,Entidade Parceira,16/7/2022,17/12/2022,120,1,1,0,0
CMSE ,SP ,São Paulo ,3º CTA ,Autocad 2D e 3D  Documentação e Projeto ,SENAI ,Entidade Parceira,25/4/2022,12/5/2022,48,1,1,0,0
CMSE ,SP ,São Paulo ,3º CTA ,Microsoft AI900 ,SENAI ,Entidade Parceira,16/8/2022,31/8/2022,40,1,1,0,0
CMP ,TO ,Palmas ,22º BI ,Processos Básicos de Manutenção Automotiva ,SENAI ,Entidade Parceira,4/4/2022,4/5/2022,120,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,"Mnt de Sistemas de Freios, Susp e Dir Veiculo ",SENAI ,Entidade Parceira,16/5/2022,6/6/2022,90,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Fundamentos da Tecnologia Automotiva ,SENAI ,Entidade Parceira,20/6/2022,7/7/2022,80,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Comunicação e Informática Aplicada ,SENAI ,Entidade Parceira,18/7/2022,1/8/2022,62,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Tapeçaria e Vidraçaria Automotiva ,SENAI ,Entidade Parceira,15/8/2022,24/8/2022,40,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Mnt de Sistemas Eletroeletrônicos veiculares ,SENAI ,Entidade Parceira,5/9/2022,29/9/2022,100,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Manutenção de Motores de Veículos ,SENAI ,Entidade Parceira,10/10/2022,21/11/2022,160,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Introdução ao Desenvolvimento de projetos ,SENAI ,Entidade Parceira,23/1/2023,3/2/2023,52,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Mnt de Sistemas de Transmissão de Veiculos ,SENAI ,Entidade Parceira,13/2/2023,6/3/2023,80,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Gestão de Serviços de Manutenção Veicular ,SENAI ,Entidade Parceira,20/3/2023,18/4/2023,120,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Diagnósticos Avançados em Sistemas Automotivo ,SENAI ,Entidade Parceira,2/5/2023,30/5/2023,120,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Introdução a Qualidade e produtividade ,SENAI ,Entidade Parceira,12/6/2023,26/6/2023,58,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Projeto de Inovação em Manutenção Automotiva ,SENAI ,Entidade Parceira,22/8/2023,13/9/2023,90,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Metodologia de Projetos ,SENAI ,Entidade Parceira,26/9/2023,6/10/2023,50,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Inspeção Veicular ,SENAI ,Entidade Parceira,17/10/2023,26/10/2023,40,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Fundamentos de Funilaria e Pintura Automotiva ,SENAI ,Entidade Parceira,7/11/2023,4/12/2023,110,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Garçom ,SENAC ,Entidade Parceira,2/5/2022,13/5/2022,40,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Corel Draw ,SENAI ,Entidade Parceira,12/9/2022,27/9/2022,48,3,3,5,720
CMP ,TO ,Palmas ,22º BI ,Eletricista Instalador Residencial ,SENAI ,Própria OM,20/6/2022,18/7/2022,160,20,20,0,0
CMP ,TO ,Palmas ,22º BI ,Eletrônica Básica ,SENAI ,Entidade Parceira,26/9/2022,28/10/2022,160,4,4,"4,88","3123,2"
CMP ,TO ,Palmas ,22º BI ,Mêcanico de Motor a Diesel ,SENAI ,Entidade Parceira,15/8/2022,7/10/2022,160,2,2,"5,13","1641,6"
CMP ,TO ,Palmas ,22º BI ,Manutenção Predial ,SENAI ,Entidade Parceira,20/6/2022,24/6/2022,40,9,9,0,0
CMP ,TO ,Palmas ,22º BI ,NR para Serviços em Altura NR 35 ,SENAI ,Entidade Parceira,18/7/2022,18/7/2022,8,10,10,"16,88","1350,4"
CMP ,TO ,Palmas ,22º BI ,Cozinha para Eventos ,SENAC ,Entidade Parceira,13/7/2022,22/7/2022,36,6,6,0,0
CMP ,TO ,Palmas ,22º BI ,Técnicas em Serviços de Restaurantes e Bares ,SENAC ,Própria OM,27/6/2022,1/7/2022,20,17,17,0,0
