C Mil A,UF,Município,OM,Curso,Entidade,Local,Início,Fim,Carga Horária,Efetivo Inicial,Efetivo Final,Valor hora aula,Valor total
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Manutenção e operação de roçadeira ,SENAR ,Própria OM,10/5/2022,12/5/2022,24,8,8,0,0
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Bolachas e salgados ,SENAR ,Própria OM,2/6/2022,3/6/2022,16,15,15,0,0
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Panificação caseira ,SENAR ,Própria OM,6/6/2022,8/6/2022,24,15,15,0,0
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Tortas e docinhos ,SENAR ,Própria OM,9/6/2022,10/6/2022,16,15,15,0,0
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Aproveitamento integral de alimentos ,SENAR ,Própria OM,13/6/2022,15/6/2022,24,15,15,0,0
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Básico de GPS ,SENAR ,Própria OM,4/7/2022,5/7/2022,16,10,10,0,0
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Produção de alimentos a base de arroz. ,SENAR ,Própria OM,17/10/2022,18/10/2022,16,15,15,0,0
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Produção caseira da mandioca e seus derivados ,SENAR ,Própria OM,10/10/2022,11/10/2022,16,15,15,0,0
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Transporte de Produtos Perigosos ,"SEST SENAT, Porto Alegre ",Entidade Parceira,15/8/2022,19/8/2022,50,5,5,"7,6",1900
CMS ,RS ,Porto Alegre ,H Mil A PORTO ALEGRE ,Transporte Coletivo ,SEST/ SENAT- Porto Alegre ,Entidade Parceira,8/8/2022,12/8/2022,50,3,3,"7,6",1140
CMS ,SC ,Florianópolis ,H Gu FLORIANÓPOLIS ,Transporte de Produtos Perigosos ,SENAT ,Entidade Parceira,8/8/2022,2/9/2022,50,5,5,6,1500
CMS ,SC ,Florianópolis ,H Gu FLORIANÓPOLIS ,Transporte Coletivo de Passageiros ,SENAT ,Entidade Parceira,12/10/2022,11/11/2022,50,1,1,6,300
CMS ,SC ,Florianópolis ,H Gu FLORIANÓPOLIS ,11 Confeiteiro Básico ,SENAI ,Entidade Parceira,3/10/2022,31/10/2022,40,21,21,"16,8",14112
CMS ,SC ,Florianópolis ,H Gu FLORIANÓPOLIS ,22 Panificação ,SENAI ,Entidade Parceira,1/9/2022,30/9/2022,45,21,21,"14,54","13740,3"
CMS ,SC ,Lages ,1º B Fv ,CONDUTORES DE TRANSPORTE COLETIVO DE PASSAGEI ,SEST SENAT ,Entidade Parceira,00/00/0000 ,20/7/2022,50,6,6,6,1800
CMS ,SC ,Lages ,1º B Fv ,TRANSPORTE DE EMERGÊNCIA ,SEST/SENAT ,Entidade Parceira,4/7/2022,5/5/2022,50,5,5,6,1500
CMS ,SC ,São Miguel do Oeste ,14º RC Mec ,Condutor de veículos de emergência ,CESPTRAN ,Própria OM,1/9/2022,1/12/2022,50,4,4,"9,38",1876
CMS ,SC ,São Miguel do Oeste ,14º RC Mec ,Transporte Coletivo de Passageiros ,CESPTRAN ,Própria OM,1/9/2022,1/12/2022,50,10,10,"9,38",4690
CMS ,SC ,São Miguel do Oeste ,14º RC Mec ,Transporte de Cargas Indivisíveis ,CESPTRAN ,Própria OM,1/9/2022,1/12/2022,50,5,5,"9,38",2345
CMS ,SC ,São Miguel do Oeste ,14º RC Mec ,Transporte de produtos perigosos ,CESPTRAN ,Própria OM,1/9/2022,1/12/2022,50,5,5,"9,38",2345
CMS,SC,Lages,1º B Fv,"Curso de Motorista Profissional Categoria ""C""",DETRAN /SC,1º B Fv,18/5/2022,16/11/2022,50,30,30,"12,32",18480
CMS,SC,Lages,1º B Fv,"Curso de Motorista Profissional Categoria ""D""",DETRAN /SC,1º B Fv,7/3/2022,30/11/2022,50,9,9,"12,32",5544
CMS,SC,Joinvile,62° BI,"Curso de Motorista Profissional Categoria ""D""",DETRAN /SC,62° BI,2/3/2022,18/7/2022,50,62,62,"6,34",19654
CMS ,SC ,Blumenau ,23º BI ,Condutor de Veículo de Emergência ,SEST SENAT BLUMENAU-SC ,Entidade Parceira,15/8/2022,26/8/2022,50,7,7,"7,3",2555
CMS ,SC ,Blumenau ,23º BI ,Transporte coletivo de passageiros ,SEST SENAT BLUMENAU-SC ,Entidade Parceira,25/7/2022,5/8/2022,50,5,5,"7,3",1825
CMS ,SC ,Blumenau ,23º BI ,Atualização - Condutores Transporte Coletivo ,SEST SENAT BLUMENAU-SC ,Entidade Parceira,8/8/2022,12/8/2022,15,1,1,18,270
CMS ,SC ,Blumenau ,23º BI ,MOPP ,SEST SENAT BLUMENAU-SC ,Entidade Parceira,4/7/2022,15/7/2022,50,2,2,"7,3",730
CMS ,SC ,Blumenau ,23º BI ,Atualização - MOPP ,SEST SENAT BLUMENAU-SC ,Entidade Parceira,18/7/2022,22/7/2022,15,4,4,"17,34","1040,4"
CMS ,SC ,Criciúma ,28º GAC ,PRINCIPIANTES NA COZINHA ,SENAI ,Entidade Parceira,1/8/2022,15/8/2022,20,10,10,"18,5",3700
CMS ,SC ,Criciúma ,28º GAC ,ASSENTADOR CERÂMICO ,SENAI ,Própria OM,8/11/2022,7/12/2022,40,20,20,"10,75",8600
CMS ,SC ,Joinville ,62º BI ,NR 35 - TRABALHO EM ALTURA ,CTE Segurança do trabalho e meio ambiente ,Entidade Parceira,4/7/2022,4/9/2022,8,15,15,"9,17","1100,4"
CMS ,SC ,Joinville ,62º BI ,NR 10 ,CTST TREINAMENTOS E EPI ,Entidade Parceira,4/7/2022,4/9/2022,40,10,10,"5,75",2300
CMS ,SC ,Joinville ,62º BI ,Condutores de Veículos de Emergência ,SEST/SENAT ,Entidade Parceira,4/7/2022,4/10/2022,50,20,20,"4,8",4800
CMS ,SC ,Joinville ,62º BI ,Veículo Transporte de Produtos Perigosos ,SEST/SENAT ,Entidade Parceira,4/7/2022,5/9/2022,50,20,20,"4,8",4800
CMS ,SC ,Joinville ,62º BI ,VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIRO ,SEST/SENAT ,Entidade Parceira,4/7/2022,5/9/2022,50,20,20,"4,8",4800
CMS ,SC ,Florianópolis ,63º BI ,AUXILIAR DE MANUTENÇÃO PREDIAL ,SENAI ,Própria OM,1/7/2022,15/8/2022,160,21,21,"8,62","28963,2"
CMS ,SC ,Florianópolis ,63º BI ,Manutenção de Ar Condicionado Split System ,SENAI ,Entidade Parceira,22/8/2022,9/9/2022,40,21,21,"14,8",12432
CMS ,SC ,Porto União ,5º BE Cmb Bld ,Operação de empinhadeira de pequeno porte ,SENAI ,Entidade Parceira,8/8/2022,11/8/2022,16,20,20,"16,38","5241,6"
CMS ,SC ,Florianópolis ,Cia Cmdo 14ª Bda Inf Mtz ,Mecânica Básica de Automóveis ,SENAI/SC São José ,Própria OM,1/8/2022,1/9/2022,100,21,21,"9,5",19950
